TOP[Pa]	TIT[K]	Efficiency[-]	Net_sp_work[J/kgCO2]	TOT[K]
200000.000000	1980.000000	0.598000	972872.437000	1027.186007	
200000.000000	1985.000000	0.598100	976776.866000	1029.493280	
200000.000000	1990.000000	0.598200	980686.240000	1031.798124	
200000.000000	1995.000000	0.598300	984600.586000	1034.100541	
200000.000000	2000.000000	0.598500	988519.931000	1036.400536	
400000.000000	1000.000000	0.358300	277081.473000	566.451673	
400000.000000	1005.000000	0.361200	280454.770000	569.795862	
400000.000000	1010.000000	0.364100	283829.436000	573.139167	
400000.000000	1015.000000	0.367000	287212.613000	576.480733	
400000.000000	1020.000000	0.369900	290575.591000	579.824089	
400000.000000	1025.000000	0.372700	293961.523000	583.163970	
400000.000000	1030.000000	0.375500	297341.436000	586.503938	
400000.000000	1035.000000	0.378300	300717.031000	589.843800	
400000.000000	1040.000000	0.380700	304165.972000	593.174066	
400000.000000	1045.000000	0.383400	307570.787000	596.509129	
400000.000000	1050.000000	0.385800	311027.455000	599.837262	
400000.000000	1055.000000	0.388200	314480.929000	603.165214	
400000.000000	1060.000000	0.390700	317903.173000	606.496425	
400000.000000	1065.000000	0.393100	321354.752000	609.824292	
400000.000000	1070.000000	0.395700	324754.678000	613.157250	
400000.000000	1075.000000	0.398100	327929.833000	616.295673	
400000.000000	1080.000000	0.400300	330819.369000	619.188294	
400000.000000	1085.000000	0.402500	333747.401000	622.110130	
400000.000000	1090.000000	0.404700	336690.162000	625.044744	
400000.000000	1095.000000	0.406900	339644.357000	627.986174	
400000.000000	1100.000000	0.409100	342603.440000	630.932010	
400000.000000	1105.000000	0.411300	345569.610000	633.880094	
400000.000000	1110.000000	0.413400	348538.594000	636.829670	
400000.000000	1115.000000	0.415600	351516.365000	639.779127	
400000.000000	1120.000000	0.417700	354477.403000	642.731567	
400000.000000	1125.000000	0.419800	357458.241000	645.680788	
400000.000000	1130.000000	0.421900	360435.138000	648.629880	
400000.000000	1135.000000	0.424000	363412.290000	651.578016	
400000.000000	1140.000000	0.426100	366390.453000	654.524853	
400000.000000	1145.000000	0.428200	369370.496000	657.470080	
400000.000000	1150.000000	0.430200	372353.117000	660.413394	
400000.000000	1155.000000	0.432200	375341.213000	663.354357	
400000.000000	1160.000000	0.434100	378354.975000	666.290478	
400000.000000	1165.000000	0.435900	381383.666000	669.222913	
400000.000000	1170.000000	0.437500	384468.823000	672.146765	
400000.000000	1175.000000	0.439200	387514.784000	675.073056	
400000.000000	1180.000000	0.440900	390561.820000	677.997032	
400000.000000	1185.000000	0.442700	393575.524000	680.922583	
400000.000000	1190.000000	0.444400	396609.944000	683.843434	
400000.000000	1195.000000	0.446300	399612.937000	686.765563	
400000.000000	1200.000000	0.448200	402591.633000	689.687818	
400000.000000	1205.000000	0.450100	405575.665000	692.607046	
400000.000000	1210.000000	0.452000	408556.612000	695.524078	
400000.000000	1215.000000	0.453800	411536.842000	698.438608	
400000.000000	1220.000000	0.455700	414507.530000	701.351585	
400000.000000	1225.000000	0.457600	417492.935000	704.260286	
400000.000000	1230.000000	0.459400	420472.852000	707.166928	
400000.000000	1235.000000	0.461200	423450.304000	710.071150	
400000.000000	1240.000000	0.463000	426425.965000	712.972984	
400000.000000	1245.000000	0.464800	429401.594000	715.871831	
400000.000000	1250.000000	0.466600	432376.756000	718.768241	
400000.000000	1255.000000	0.468400	435350.662000	721.661884	
400000.000000	1260.000000	0.470100	438323.984000	724.552809	
400000.000000	1265.000000	0.471900	441295.766000	727.440949	
400000.000000	1270.000000	0.473600	444268.905000	730.326277	
400000.000000	1275.000000	0.475400	447233.149000	733.209761	
400000.000000	1280.000000	0.477100	450202.459000	736.089774	
400000.000000	1285.000000	0.478800	453174.552000	738.966741	
400000.000000	1290.000000	0.480500	456139.638000	741.841568	
400000.000000	1295.000000	0.482200	459113.965000	744.712554	
400000.000000	1300.000000	0.483900	462080.610000	747.581483	
400000.000000	1305.000000	0.485500	465046.466000	750.447616	
400000.000000	1310.000000	0.487200	468011.376000	753.310965	
400000.000000	1315.000000	0.488800	470975.808000	756.171470	
400000.000000	1320.000000	0.490500	473940.138000	759.029086	
400000.000000	1325.000000	0.492100	476900.913000	761.884180	
400000.000000	1330.000000	0.493700	479848.754000	764.737845	
